name,artists,duration
Aaj Din Chadeya,Raahat Fateh Ali Khan,6
Agar Tum Saath Ho,"Arijit Singh, Alka Yagnik",5.4
All The Stars,Kendrick Lamar,3.9
Attention,Charlie Puth,3.5
Back To You,Selena Gomez,3.5
Believer,Imagine Dragons,3.4
Bom Diggy,"Zack Knight, Jasmine Walia",3.5
Bulleya,Arijit Singh,4.5
Call Out My Name,The Weeknd,3.8
Channa Mereya,"Pritam, Arijit Singh",3
Closer,The Chainsmokers,4.1
Dilbar,"Neha Kakkar, Dhvani, Ikka",3.2
Don't Let Me Down,The Chainsmokers,3.5
Duniya,"Akhil, Dhvani Bhanushali",3.4
Dusk Till Dawn,ZAYN,4
Eastside,"benny blanco, Halsey, Khalid",2.9
Enna Sona,Arijit Singh,3.4
Everybody Dies In Their Nightmares,XXXTENTACION,1.6
Fake Love,Drake,3.5
FRIENDS,Marshmello,3.4
Fursat,Arjun Kanungo,5
Galliyan,Ankit Tiwari,5.1
Girls Like You,"Maroon 5, Cardi B",3.9
God's Plan,Drake,3.3
Havana,Camila Cabello,3.6
Hua Hai Aaj Pehli Baar,Amaal Malik,4.1
HUMBLE,Kendrick Lamar,3
I Don't Wanna Live Forever,ZAYN,4.1
Ik Kudi,Diljit Dosanjh,4
It Ain't Me,Kygo,3.7
Jahan Teri Ye Nazar Hai,Kishore Kumar,5.3
Jocelyn Flores,XXXTENTACION,2
Just Hold On,Steve Aoki,3.3
Kaise Hua,Vishal Mishra,4.1
Kiss Me,Ed Sheeran,4.4
Lag Jaa gale,Lata Mangeshkar,4.2
Let Me Love You,DJ Snake,3.4
Look What You Made Me Do,Taylor Swift,3.5
Malibu,Miley Cyrus,3.9
Mi Gente,J Balvin,3.2
My Name is Anthony Gonsalves,Kishore Kumar,5
Nazm Nazm,Arko,4
New Rules,Dua Lipa,3.5
No Brainer,DJ Khaled,4.3
Oh Oh jane jana,Kamaal Khan,4.2
One Kiss,Calvin Harris,3.6
One Two Three,"Jason Derulo, De La Ghett, Sofia Reyes",3.4
Paris,The Chainsmokers,3.7
PPAP,Pikotaro,4.3
Perfect,Ed Sheeran,4.4
Phir Bhi Tumko Chahunga,Arijit Singh,6
Q.U.E.E.N,Janelle Monáe,6
Qismat,Ammy Virk,4.2
Questions,Chris Brown,2.1
Rockabye,Clean Bandit,4.2
Rockstar,Post Malone,3.6
Ruk Ja O Dil Deewane,Udit Narayan,4
Sanu ek pal chain,"Tanishk B, Raahat Fateh Ali Khan",2.2
Starboy,The Weeknd,3.8
Swalla,Jason Derulo,3.6
Taki Taki,DJ Snake,3.5
Thunder,Imagine Dragons,3.1
Tujhe kitna chahne lage,Arijit Singh,4.5
Ude jab jab zulfe teri,"Asha Bhosle, Mohd. Rafi",5
Unforgettable,French Montana,3.9
Vaina Loca,Ozuna,2.9
Vele,"Vishal Dadlani, Shekhar Ravjiani ",4.4
Wajah Tum Ho,Armaan Malik,4.4
Wild Thoughts,DJ Khaled,3.4
Wolves,Selena Gomez,3.3
X,Nicky Jam,2.9
XO TOUR,Lil Uzi Vert,3
Yeh Dosti,Kishore Kumar,6.4
Young Dumb n Broke,Khalid,3.4
Youngblood,5 Seconds of Summer,3.4
Zaalima,Arijit Singh,5.1
Zero,Imagine Dragons,3.5
Zombie,Jaime T,4
